VOTI 33° GIORNATA CAMPIONATO 2013-2014,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COM i voti alle prime luci dell'alba,,,,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTAGAZZETTA.COM,,,,,,,,,,,,,,,
ATALANTA,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
335,A,INSIGNE,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
337,A,MERTENS,"7,04",1,0,0,0,0,0,1,0,0,0,0,0
339,A,PANDEV,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
626,ALL,BENITEZ,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
PARMA,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
359,P,MIRANTE,"6,53",0,1,0,0,0,0,0,0,0,0,0,0
135,D,CASSANI,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
354,D,LUCARELLI,"6,02",0,0,0,0,0,0,1,0,0,0,0,0
364,D,PALETTA,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
706,D,MOLINARO,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
213,C,SCHELOTTO,"5,5",0,0,0,0,0,0,0,0,0,0,0,0
331,C,GARGANO,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
344,C,ACQUAH,"6,52",0,0,0,0,0,0,0,0,0,0,0,0
348,C,BIABIANY,"6,53",0,0,0,0,0,0,0,0,1,0,0,0
356,C,MARCHIONNI,"5,52",0,0,0,0,0,0,0,0,0,0,0,0
361,C,MUNARI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
345,A,AMAURI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
365,A,PALLADINO,"6,54",1,0,0,0,0,0,0,0,0,0,0,1
627,ALL,DONADONI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
ROMA,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
380,P,DE SANCTIS,"6,02",0,1,0,0,0,0,0,0,0,0,0,0
378,D,CASTAN,"7,03",0,0,0,0,0,0,0,0,0,0,0,0
382,D,DODO,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
387,D,MAICON,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
391,D,ROMAGNOLI,6*,0,0,0,0,0,0,0,0,0,0,0,0
717,D,TOLOI,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
72,C,NAINGGOLAN,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
144,C,LJAJIC,"7,04",1,0,0,0,0,0,0,0,1,0,1,0
379,C,DE ROSSI,"7,03",0,0,0,0,0,0,0,0,1,0,0,0
395,C,TADDEI,"6,52",1,0,0,0,0,0,0,0,0,0,0,0
676,C,RICCI,6*,0,0,0,0,0,0,0,0,0,0,0,0
696,C,BASTOS,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
397,A,TOTTI,"7,03",0,0,0,0,0,0,0,0,0,0,0,0
560,A,GERVINHO,"7,04",1,0,0,0,0,0,0,0,0,0,0,0
628,ALL,GARCIA,"7,03",0,0,0,0,0,0,0,0,0,0,0,0
SAMPDORIA,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
401,P,DA COSTA,"5,01",0,4,0,0,0,0,0,0,0,0,0,0
402,D,DE SILVESTRI,"5,02",0,0,0,0,0,0,0,0,0,0,0,0
